hhid,date,arm,timepoint,filter_id,pm25,bc,fueltype,group
33237,2019-04-30,Control,P1,3M52035,206.185567,17.10036236,Biomass,Control
35101,2019-05-01,Intervention,BL,3M52045,264.764773,16.08656671,Biomass,Baseline
33287,2019-05-01,Intervention,BLP1,3M52049,30.90827785,3.797653648,LPG,Intervention
33296,2019-05-06,Control,BLP1,3M52050,51.00803315,6.722393818,Biomass,Control
33244,2019-05-01,Intervention,P1,3M52051,27.98688037,4.391543848,LPG,Intervention
33397,2019-05-02,Intervention,BL,3M52064,189.0698316,10.60673995,Biomass,Baseline
33334,2019-05-02,Control,BLP1,3M52067,90.05080944,15.14574626,Biomass,Control
35050,2019-05-06,Intervention,P2,3M52069,30.11699293,2.588810294,LPG,Intervention
33079,2019-05-06,Control,P2,3M52077,106.9242353,8.71755018,Biomass,Control
33303,2019-05-06,Intervention,BLP1,3M52083,108.3892117,39.84683964,LPG,Intervention
35080,2019-05-06,Control,P1,3M52084,131.520522,20.44298971,Biomass,Control
33226,2019-05-06,Control,P1P2,3M52086,57.1621527,7.853562947,Biomass,Control
33315,2019-05-06,Control,P1,3M52091,194.9269865,32.16581148,Biomass,Control
33396,2019-05-08,Control,BL,3M52115,239.227714,20.49244632,Biomass,Baseline
33256,2019-05-10,Intervention,P1,3M52119,26.55344381,4.890714535,LPG,Intervention
33312,2019-05-10,Control,P1,3M52120,112.059533,9.740517348,Biomass,Control
33266,2019-05-10,Control,P1,3M52125,259.1512796,12.77195802,Biomass,Control
33260,2019-05-10,Control,P1,3M52127,40.71048144,7.976015016,Biomass,Control
33252,2019-05-10,Control,BLP1,3M52138,182.309266,9.848306373,Biomass,Control
35077,2019-05-13,Intervention,P1,3M52143,60.13376293,7.943608184,LPG,Intervention
33420,2019-05-13,Control,BL,3M52146,42.08719899,5.823548086,Biomass,Baseline
33234,2019-05-15,Control,P2,3M52166,102.6185614,9.789824249,Biomass,Control
33221,2019-05-15,Intervention,P1,3M52171,42.01842906,5.317487124,LPG,Intervention
33422,2019-05-15,Intervention,BL,3M52173,106.4838554,8.650642283,Biomass,Baseline
33227,2019-04-05,Control,BLP1,3M52184,107.6774733,22.48221667,Biomass,Control
33348,2019-04-05,Intervention,BL,3M52185,61.93136399,10.34327529,Biomass,Baseline
33244,2019-04-08,Intervention,BLP1,3M52189,23.4372289,3.124441894,LPG,Intervention
33209,2019-04-05,Intervention,P1,3M52193,10.63399309,2.588810294,LPG,Intervention
33144,2019-04-05,Intervention,P2,3M52204,41.63106664,6.905332474,LPG,Intervention
33151,2019-04-08,Control,P2,3M52209,215.4308024,17.33768644,Biomass,Control
33336,2019-04-08,Intervention,BL,3M52210,26.50825973,2.692901723,Biomass,Baseline
33157,2019-04-08,Intervention,P2,3M52212,21.71898529,2.554747001,LPG,Intervention
33219,2019-04-10,Intervention,P1,3M52216,29.05549871,4.096974058,LPG,Intervention
33353,2019-04-08,Control,BL,3M52224,101.595785,9.377577617,Biomass,Baseline
35078,2019-05-15,Control,P1P2,3M52229,63.70902351,10.31079276,Biomass,Control
33326,2019-05-15,Intervention,BLP1,3M52236,38.01750587,4.630454601,LPG,Intervention
33249,2019-05-20,Intervention,P1,3M52242,29.15300039,6.417254572,LPG,Intervention
33216,2019-05-17,Intervention,P2,3M52264,19.36906229,2.546370781,LPG,Intervention
33303,2019-05-20,Intervention,P1,3M52265,75.69388932,28.3633403,LPG,Intervention
33298,2019-05-20,Intervention,BLP1,3M52272,37.48308532,9.15008086,LPG,Intervention
33298,2019-05-20,Intervention,BLP1,3M52274,37.48308532,9.15008086,LPG,Intervention
33288,2019-05-22,Intervention,P1P2,3M52282,17.28874451,2.223026561,LPG,Intervention
35092,2019-05-22,Intervention,BLP1,3M52283,34.29313467,4.348520145,LPG,Intervention
33277,2019-05-22,Control,BLP1,3M52287,137.377765,8.077568748,Biomass,Control
33432,2019-05-22,Intervention,BL,3M52299,149.0325424,14.44604691,Biomass,Baseline
35090,2019-05-24,Control,BLP1,3M52307,25.35863011,2.383095906,Biomass,Control
33326,2019-05-27,Intervention,P1,3M52329,36.34092178,4.897839422,LPG,Intervention
33287,2019-05-27,Intervention,P1,3M52332,10.66820062,2.597138003,LPG,Intervention
35108,2019-05-27,Intervention,P1,3M52346,14.85962229,2.554620459,LPG,Intervention
33240,2019-05-29,Control,P2,3M52350,10.58108766,6.493992292,Biomass,Control
33311,2019-05-29,Intervention,BLP1,3M52360,17.46870749,3.384875012,LPG,Intervention
33336,2019-05-31,Intervention,BLP1,3M52377,17.58337409,1.828907252,LPG,Intervention
33207,2019-05-31,Control,P2,3M52378,20.78095602,3.793951671,Biomass,Control
33334,2019-05-31,Control,P1,3M52388,36.89452931,6.910706251,Biomass,Control
33397,2019-05-31,Intervention,BLP1,3M52391,11.50182179,2.472099496,LPG,Intervention
33452,2019-06-03,Intervention,BL,3M52404,313.4068485,9.460306802,Biomass,Baseline
33459,2019-06-05,Intervention,BL,3M52413,230.7481472,14.8179494,Biomass,Baseline
33209,2019-06-05,Intervention,P2,3M52414,11.20232489,2.727168781,LPG,Intervention
33244,2019-06-03,Intervention,P1P2,3M52415,11.96321677,1.909013314,LPG,Intervention
33301,2019-06-03,Intervention,BLP1,3M52417,21.42146494,3.898110877,LPG,Intervention
33260,2019-06-05,Control,P1P2,3M52421,58.41401189,11.0691915,Biomass,Control
35084,2019-06-07,Control,P1,3M52422,48.81323784,7.335377928,Biomass,Control
33457,2019-06-05,Control,BL,3M52427,143.3596389,10.59301426,Biomass,Baseline
33309,2019-06-05,Control,BLP1,3M52433,60.13376293,10.00328632,Biomass,Control
33251,2019-06-05,Control,P1,3M52434,114.8676885,10.68314045,Biomass,Control
33308,2019-06-10,Control,BLP1,3M52452,95.04543247,10.48982616,Biomass,Control
33298,2019-06-07,Intervention,P1,3M52457,71.53560058,7.12054123,LPG,Intervention
33277,2019-06-12,Control,P1,3M52466,54.5632977,5.927848569,Biomass,Control
35114,2019-06-10,Intervention,BL,3M52467,197.086444,10.15027067,Biomass,Baseline
33470,2019-06-10,Control,BL,3M52468,312.6307544,20.15251497,Biomass,Baseline
