filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,Cl,Na,BC,PM25,arm,fueltype,group
3M52710,0.0163,0.0865,0.1669,0.0259,0.1624,0.0398,0.0193,0.0108,0.0379,0.0201,0.282,0.0181,2.3998,9.5295,Control,Biomass,Baseline
3M52711,0.0127,0.0782,0.1147,0.0184,0.0316,0.0177,0.0188,0.009,0.0497,0.0037,0.0261,0.0119,1.1935,4.8107,Intervention,LPG,Intervention
3M52712,0.011,0.048,0.0459,0.0107,0.0474,0.0231,0.0132,0.0046,0.0153,0.0037,0.05,0.0118,1.4245,5.1137,Intervention,Biomass,Baseline
3M52721,0.0069,0.0425,0.0128,0.0104,0.0204,0.0124,0.014,0.0108,0.0164,0.0037,0.0241,0.0103,0.6746,4.8203,Intervention,LPG,Intervention
3M52726,0.0184,0.0797,0.1353,0.0236,0.0486,0.0238,0.0209,0.0111,0.0609,0.0037,0.0756,0.0202,3.8864,4.7932,Intervention,LPG,Intervention
3M52728,0.0085,0.0375,0.0135,0.0215,0.1196,0.0239,0.0132,0.0116,0.0165,0.0202,0.3971,0.061,1.8084,15.6117,Control,Biomass,Control
3M52730,0.0189,0.0529,0.0854,0.0329,0.2497,0.0676,0.0132,0.0109,0.0203,0.0183,0.3908,0.0131,2.4316,14.8344,Intervention,Biomass,Baseline
3M52731,0.0062,0.0106,0.0312,0.0271,0.15310000000000001,0.0275,0.0132,0.0097,0.0225,0.0103,0.467,0.061,2.8649,15.6117,Control,Biomass,Control
3M52746,0.0143,0.0767,0.0984,0.0164,0.0706,0.0206,0.0148,0.0082,0.0365,0.0037,0.1035,0.0131,2.0262,8.1197,Intervention,Biomass,Baseline
3M52749,0.011,0.0573,0.0544,0.0155,0.0144,0.0119,0.0136,0.0046,0.0278,0.0037,0.0135,0.0112,1.3854,4.6898,Intervention,LPG,Intervention
3M52751,0.0045,0.0262,0.022,0.0046,0.0062,0.0104,0.0132,0.0046,0.0124,0.0037,0.0141,0.061,1.0007,4.7662,Intervention,LPG,Intervention
3M52752,0.0199,0.1038,0.1295,0.0202,0.0435,0.0229,0.0181,0.0101,0.0456,0.0176,0.0529,0.0206,0.9747,4.8065,Intervention,LPG,Intervention
3M52753,0.0246,0.1022,0.1351,0.0251,0.0846,0.0793,0.0174,0.0155,0.0485,0.0173,0.13,0.0209,1.7966,5.8625,Control,Biomass,Baseline
